Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"16,978.08",-471.86,-2.70%,326.582B,21.941B,21.941B,21.941B,19.236M
ETH-USD,Ethereum USD,"1,205.34",-66.40,-5.22%,147.502B,7.333B,7.333B,7.333B,122.374M
USDT-USD,Tether USD,1.0001,-0.0000,-0.00%,66.045B,27.301B,27.301B,27.301B,66.04B
USDC-USD,USD Coin USD,0.999771,-0.000257,-0.03%,44.945B,2.665B,2.665B,2.665B,44.956B
BNB-USD,BNB USD,247.13,-16.15,-6.13%,39.533B,928.631M,928.631M,928.631M,159.967M
BUSD-USD,Binance USD USD,0.999273,-0.000914,-0.09%,18.638B,5.656B,5.656B,5.656B,18.652B
XRP-USD,XRP USD,0.362599,-0.019230,-5.04%,18.273B,885.687M,885.687M,885.687M,50.395B
DOGE-USD,Dogecoin USD,0.081749,-0.005539,-6.35%,10.846B,521.011M,521.011M,521.011M,132.671B
ADA-USD,Cardano USD,0.284325,-0.017672,-5.85%,9.804B,299.51M,299.51M,299.51M,34.481B
MATIC-USD,Polygon USD,0.842810,-0.043557,-4.91%,7.361B,313.312M,313.312M,313.312M,8.734B
DAI-USD,Dai USD,0.999565,-0.000155,-0.02%,5.812B,180.36M,180.36M,180.36M,5.815B
DOT-USD,Polkadot USD,5.0487,-0.1725,-3.30%,5.793B,191.693M,191.693M,191.693M,1.147B
WTRX-USD,Wrapped TRON USD,0.054971,-0.000738,-1.33%,5.589B,1.168M,1.168M,1.168M,101.676B
TRX-USD,TRON USD,0.054724,-0.000904,-1.62%,5.036B,214.178M,214.178M,214.178M,92.033B
LTC-USD,Litecoin USD,68.56,-5.44,-7.35%,4.925B,635.998M,635.998M,635.998M,71.842M
SOL-USD,Solana USD,12.98,-1.02,-7.30%,4.761B,264.247M,264.247M,264.247M,366.693M
SHIB-USD,Shiba Inu USD,0.00000852,-0.00000032,-3.57%,4.681B,129.692M,129.692M,129.692M,549.063T
HEX-USD,HEX USD,0.025519,-0.001580,-5.83%,4.425B,8.183M,8.183M,8.183M,173.411B
UNI7083-USD,Uniswap USD,5.5567,-0.3682,-6.21%,4.235B,76.774M,76.774M,76.774M,762.209M
STETH-USD,Lido Staked ETH USD,"1,180.44",-66.39,-5.33%,4.117B,10.099M,10.099M,10.099M,3.488M
AVAX-USD,Avalanche USD,12.53,-0.95,-7.08%,3.896B,167.574M,167.574M,167.574M,311.032M
LEO-USD,UNUS SED LEO USD,3.6963,+0.0044,+0.12%,3.526B,2.28M,2.28M,2.28M,953.954M
WBTC-USD,Wrapped Bitcoin USD,"16,918.83",-511.44,-2.93%,3.147B,115.891M,115.891M,115.891M,"186,009"
LINK-USD,Chainlink USD,6.1695,-0.40,-6.05%,3.134B,224.942M,224.942M,224.942M,508M
